title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Marco Polo: One Hundred Eyes,MOVIE,2015,28,['action'; 'history'; 'drama'],0,7.8,10742
The Adventures of Puss in Boots,SHOW,2015,23,['family'; 'animation'; 'comedy'; 'fantasy'; 'western'; 'action'],6,6.6,1696
Last Chance U,SHOW,2016,55,['documentation'; 'sport'],5,8.4,6789
Molang,SHOW,2015,3,['animation'; 'comedy'; 'family'; 'european'],3,8.4,346
Signal,SHOW,2016,71,['crime'; 'scifi'; 'thriller'; 'drama'; 'fantasy'],2,8.6,6338
Between,SHOW,2015,25,['scifi'; 'drama'; 'thriller'],2,6,9059
Midnight Diner: Tokyo Stories,SHOW,2016,28,['drama'],2,8.4,4109
Ares,MOVIE,2016,80,['scifi'; 'thriller'; 'drama'; 'european'],0,6.2,3994
Results,MOVIE,2015,105,['comedy'; 'romance'],0,5.4,7073
I Am the Pretty Thing That Lives in the House,MOVIE,2016,89,['thriller'; 'drama'; 'horror'],0,4.6,14491
Reply 1988,SHOW,2015,95,['comedy'; 'drama'; 'family'; 'romance'],1,9.2,6557
Sunny Bunnies,SHOW,2015,3,['animation'; 'family'],4,6.6,95
Cinderella and Four Knights,SHOW,2016,61,['comedy'; 'drama'; 'romance'],1,7.5,3663
Legends of the Hidden Temple,MOVIE,2016,68,['family'],0,5.7,896
Simon,SHOW,2016,5,['animation'; 'comedy'; 'family'],2,7,127
David Brent: Life on the Road,MOVIE,2016,96,['comedy'; 'music'; 'action'],0,6.3,20005
Conspiracy,SHOW,2015,43,['documentation'; 'history'; 'european'],1,6.2,367
The Sound of Your Heart,SHOW,2016,24,['drama'; 'comedy'],2,8.2,1075
Spotless,SHOW,2015,58,['drama'; 'comedy'; 'crime'; 'european'],1,7.7,3635
Message from the King,MOVIE,2016,102,['thriller'; 'drama'; 'action'; 'crime'; 'european'],0,6.4,16180
Sebastian Maniscalco: Why Would You Do That?,MOVIE,2016,63,['comedy'],0,7.3,1063
Club de Cuervos,SHOW,2015,44,['comedy'; 'drama'],4,8.2,5514
Little Things,SHOW,2016,25,['comedy'; 'drama'; 'romance'],4,8.2,6461
Care Bears and Cousins,SHOW,2015,23,['animation'],2,6.8,82
Sleight,MOVIE,2016,89,['thriller'; 'crime'; 'drama'; 'scifi'; 'action'],0,5.9,8644
Sniper: Ghost Shooter,MOVIE,2016,100,['drama'],0,0,0
Middle School: The Worst Years of My Life,MOVIE,2016,92,['comedy'; 'family'; 'animation'],0,6,8972
Kuromukuro,SHOW,2016,24,['comedy'; 'drama'; 'action'; 'scifi'; 'animation'],2,7.2,1265
Rock the Kasbah,MOVIE,2015,100,['comedy'; 'music'; 'war'],0,5.5,11963
Marseille,SHOW,2016,46,['drama'; 'european'],2,6.9,5083
